traces,algorithm,cache_size,hit_rate,dataset,rank
webserver-2012-11-29-1,dlirs,0.005,34.04,CloudCache,1.0
webserver-2012-11-29-1,scanalecar,0.005,33.9,CloudCache,1.0
webserver-2012-11-29-1,lirs,0.005,32.78,CloudCache,1.0
webserver-2012-11-29-1,lecar,0.005,32.55,CloudCache,1.0
webserver-2012-11-29-1,lru,0.005,30.72,CloudCache,6.0
webserver-2012-11-29-1,lfu,0.005,1.01,CloudCache,7.0
moodle-2012-11-26-1,dlirs,0.01,23.1,CloudCache,1.0
moodle-2012-11-26-1,lirs,0.01,22.66,CloudCache,1.0
moodle-2012-11-26-1,arc,0.01,22.15,CloudCache,1.0
moodle-2012-11-26-1,scanalecar,0.01,22.0,CloudCache,1.0
moodle-2012-11-26-1,lecar,0.01,22.0,CloudCache,1.0
moodle-2012-11-26-1,lru,0.01,19.87,CloudCache,5.0
moodle-2012-11-26-1,lfu,0.01,14.92,CloudCache,6.0
webserver-2012-11-01-1,arc,0.01,36.82,CloudCache,1.0
webserver-2012-11-01-1,dlirs,0.01,36.77,CloudCache,1.0
webserver-2012-11-01-1,scanalecar,0.01,36.73,CloudCache,1.0
webserver-2012-11-01-1,lirs,0.01,35.96,CloudCache,1.0
webserver-2012-11-01-1,lecar,0.01,35.18,CloudCache,1.0
webserver-2012-11-01-1,lru,0.01,34.03,CloudCache,6.0
webserver-2012-11-01-1,lfu,0.01,0.28,CloudCache,7.0
webserver-2012-11-08-1,arc,0.01,35.18,CloudCache,1.0
webserver-2012-11-08-1,dlirs,0.01,35.08,CloudCache,1.0
webserver-2012-11-08-1,scanalecar,0.01,34.94,CloudCache,1.0
webserver-2012-11-08-1,lirs,0.01,33.93,CloudCache,1.0
webserver-2012-11-08-1,lecar,0.01,33.53,CloudCache,1.0
webserver-2012-11-08-1,lru,0.01,32.67,CloudCache,6.0
webserver-2012-11-08-1,lfu,0.01,0.24,CloudCache,7.0
webserver-2012-11-15-1,dlirs,0.01,33.35,CloudCache,1.0
webserver-2012-11-15-1,arc,0.01,33.31,CloudCache,1.0
webserver-2012-11-15-1,scanalecar,0.01,33.23,CloudCache,1.0
webserver-2012-11-15-1,lirs,0.01,31.93,CloudCache,1.0
webserver-2012-11-15-1,lecar,0.01,31.7,CloudCache,1.0
